Dataset,Replica,RunTime,,,Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,1.99600
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,2.10900
Dataset,Replica,RunTime
Civil,30,2.10500
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,30,0.01300
Dataset,Replica,RunTime
Civil,30,1.82500
Dataset,Replica,RunTime
Civil,1,2.79800
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,5.26000
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,1.69800
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,2.17500
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,2.54000
Dataset,Replica,RunTime
Civil,1,1.73000
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,1.12500
Dataset,Replica,RunTime
Civil,1,2.00300
Dataset,Replica,RunTime
Civil,1,2.17800
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,0.02300
Dataset,Replica,RunTime
Civil,1,0.01500
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,0.02000
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Civil,1,0.01900
Dataset,Replica,RunTime
Civil,1,0.02200
Dataset,Replica,RunTime
Civil,1,0.01300
Dataset,Replica,RunTime
Civil,1,0.01300
Dataset,Replica,RunTime
Civil,1,0.01600
Dataset,Replica,RunTime
Civil,1,0.01700
Dataset,Replica,RunTime
Civil,1,0.02600
Dataset,Replica,RunTime
Civil,1,0.03400
Dataset,Replica,RunTime
Civil,1,0.01600
Dataset,Replica,RunTime
Civil,1,0.02800
Dataset,Replica,RunTime
Civil,1,0.01700
Dataset,Replica,RunTime
Civil,1,0.03100
Dataset,Replica,RunTime
Civil,1,2.47700
Dataset,Replica,RunTime
Civil,1,2.97100
Dataset,Replica,RunTime
Adult,1,14.00000
Dataset,Replica,RunTime
Adult,1,18.99700
Dataset,Replica,RunTime
Adult,1,18.18200
Dataset,Replica,RunTime
Adult,1,21.15300
Dataset,Replica,RunTime
Adult,1,14.72400
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Adult,1,17.57800
Dataset,Replica,RunTime
Adult,1,25.56800
Dataset,Replica,RunTime
Adult,1,19.22200
Dataset,Replica,RunTime
Adult,30,15.70600
Adult,29,12.69800
Dataset,Replica,RunTime
Adult,30,12.58600
Dataset,Replica,RunTime
Dataset,Replica,RunTime
Dataset,Replica,RunTime
