treeID	avgBetweenness	avgClusteringCoeff	avgInDegree	avgOutDegree	diameter	edgeCount	meanDistance	medianDegree	triad1	triad10	triad11	triad12	triad13	triad14	triad15	triad16	triad2	triad3	triad4	triad5	triad6	triad7	triad8	triad9	vertexCount	label
920	11.814814814814815	0.7063492063492064	2.4444444444444446	2.4444444444444446	0.7	34.0	0.5430641888975223	5.0	9.0	4.0	0.0	1.0	1.0	1.0	1.0	0.0	24.0	2.0	3.0	6.0	17.0	3.0	4.0	8.0	9.0	15.0
921	8.333333333333334	0.5222222222222221	2.6666666666666665	2.6666666666666665	0.8571428571428571	34.0	0.6171854461328147	6.0	12.0	0.0	2.0	3.0	0.0	1.0	5.0	2.0	23.0	14.0	2.0	1.0	7.0	8.0	3.0	1.0	9.0	15.0
922	12.404545454545454	0.5703463203463204	2.909090909090909	2.909090909090909	0.6923076923076923	58.0	0.5504957999751133	5.0	23.0	7.0	0.0	1.0	2.0	4.0	1.0	0.0	46.0	3.0	10.0	15.0	27.0	7.0	8.0	11.0	11.0	15.0
923	9.772727272727273	0.6075757575757575	3.1818181818181817	3.1818181818181817	0.7272727272727273	58.0	0.5831644432122901	7.0	14.0	5.0	1.0	6.0	2.0	5.0	2.0	0.0	54.0	5.0	6.0	13.0	24.0	9.0	3.0	16.0	11.0	15.0
924	7.944444444444445	0.474074074074074	1.8888888888888888	1.8888888888888888	1.0	34.0	0.6313746438746439	4.0	16.0	1.0	0.0	2.0	0.0	1.0	1.0	0.0	31.0	6.0	4.0	4.0	14.0	2.0	1.0	1.0	9.0	15.0
925	14.08829365079365	0.3626984126984127	2.8333333333333335	2.8333333333333335	0.6923076923076923	58.0	0.5268481002534207	4.0	48.0	0.0	2.0	2.0	2.0	7.0	1.0	4.0	74.0	16.0	8.0	10.0	21.0	18.0	7.0	0.0	12.0	15.0
926	11.101666666666667	0.7538095238095237	3.0	3.0	0.7272727272727273	46.0	0.5588287254541126	6.0	7.0	4.0	1.0	3.0	2.0	6.0	2.0	0.0	42.0	4.0	3.0	7.0	17.0	6.0	5.0	11.0	10.0	15.0
927	7.95	0.32999999999999996	1.7	1.7	1.0	34.0	0.7012848262848264	3.5	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	57.0	3.0	4.0	6.0	14.0	4.0	0.0	3.0	10.0	15.0
928	9.638888888888888	0.4851851851851852	2.3333333333333335	2.3333333333333335	0.75	43.0	0.5840682465682466	4.0	12.0	1.0	2.0	1.0	1.0	5.0	0.0	1.0	30.0	5.0	3.0	4.0	9.0	7.0	2.0	1.0	9.0	15.0
929	5.777777777777778	0.4999999999999999	2.111111111111111	2.111111111111111	1.0	34.0	0.682867187278952	4.0	15.0	0.0	0.0	4.0	1.0	1.0	0.0	1.0	29.0	11.0	1.0	3.0	10.0	5.0	3.0	0.0	9.0	15.0
930	8.666666666666666	0.3555555555555555	2.3333333333333335	2.3333333333333335	0.6666666666666666	34.0	0.5684898979016626	5.0	8.0	2.0	0.0	2.0	0.0	3.0	2.0	0.0	28.0	7.0	5.0	8.0	14.0	3.0	2.0	0.0	9.0	15.0
931	6.135185185185185	0.6857142857142857	3.3333333333333335	3.3333333333333335	0.7777777777777777	46.0	0.6516273849607184	7.0	4.0	3.0	3.0	4.0	2.0	6.0	1.0	2.0	12.0	9.0	5.0	4.0	11.0	8.0	6.0	4.0	9.0	15.0
932	8.877272727272727	0.658008658008658	3.6363636363636362	3.6363636363636362	0.6923076923076923	58.0	0.5969185226538168	8.0	10.0	7.0	3.0	5.0	2.0	15.0	2.0	0.0	43.0	7.0	6.0	14.0	21.0	8.0	7.0	15.0	11.0	15.0
933	12.318181818181818	0.5878787878787879	3.1818181818181817	3.1818181818181817	0.6923076923076923	58.0	0.5471766025980774	6.0	18.0	4.0	0.0	7.0	1.0	6.0	5.0	1.0	50.0	10.0	7.0	11.0	25.0	4.0	4.0	12.0	11.0	15.0
934	9.621212121212121	0.46666666666666673	2.1818181818181817	2.1818181818181817	0.8333333333333334	46.0	0.5678904428904429	4.0	34.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	72.0	11.0	4.0	4.0	20.0	7.0	2.0	5.0	11.0	15.0
935	7.459999999999999	0.6642857142857143	2.5	2.5	1.0	46.0	0.6205167106715095	5.0	16.0	1.0	0.0	5.0	2.0	2.0	3.0	0.0	45.0	11.0	2.0	5.0	19.0	4.0	2.0	3.0	10.0	15.0
936	5.5625	0.475	1.75	1.75	1.0	25.0	0.6838564213564213	3.0	9.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	21.0	5.0	2.0	1.0	10.0	4.0	0.0	2.0	8.0	15.0
